timestamp,latitude,longitude
2025-10-11T02:04:05.998Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:06.998Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:07.997Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:08.997Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:09.997Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:10.997Z,35.25715731855349,137.13306306763934
2025-10-11T02:04:11.997Z,35.25715252426687,137.13305868200476
2025-10-11T02:04:12.997Z,35.25715252426687,137.13305868200476
2025-10-11T02:04:13.997Z,35.25714578664114,137.1330790759984
2025-10-11T02:04:14.997Z,35.257139998983035,137.13311215602076
2025-10-11T02:04:15.997Z,35.25712928786841,137.13317216586466
2025-10-11T02:04:16.997Z,35.25711902333252,137.13323284245803
2025-10-11T02:04:17.999Z,35.2571037717835,137.1333239231861
2025-10-11T02:04:18.999Z,35.25708579400036,137.13343518282096
2025-10-11T02:04:19.999Z,35.257068573060536,137.13354697823237
2025-10-11T02:04:20.999Z,35.2570498312408,137.13366467438811
2025-10-11T02:04:21.999Z,35.257031467114615,137.1337812271979
2025-10-11T02:04:22.999Z,35.257010412433,137.13391497135066
2025-10-11T02:04:23.999Z,35.25698790142931,137.13405369050466
2025-10-11T02:04:24.999Z,35.25696152716674,137.13419498114106
2025-10-11T02:04:25.999Z,35.25693042543023,137.13434163885532
2025-10-11T02:04:26.999Z,35.25689978346382,137.13449798111148
2025-10-11T02:04:27.999Z,35.25687203822016,137.13465345202803
2025-10-11T02:04:28.999Z,35.25684620669311,137.13481103641683
2025-10-11T02:04:29.999Z,35.256820482296156,137.1349764990357
2025-10-11T02:04:30.999Z,35.25679593850323,137.13514198281788
2025-10-11T02:04:31.999Z,35.25677043601551,137.1353074223565
2025-10-11T02:04:32.999Z,35.25674612735023,137.13547259172347
2025-10-11T02:04:33.999Z,35.25672141404359,137.13564402257649
2025-10-11T02:04:34.999Z,35.25669967695056,137.13581406230384
2025-10-11T02:04:35.999Z,35.25667742936512,137.13598006523557
2025-10-11T02:04:36.999Z,35.25665405129505,137.13613536307307
2025-10-11T02:04:37.999Z,35.256620499381384,137.13628706283114
2025-10-11T02:04:38.999Z,35.256586275073964,137.1364375660079
2025-10-11T02:04:39.999Z,35.256562222024776,137.13658250565706
