latitude,longitude,elevation,x,y,timestamp
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:01.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:02.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:03.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:04.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:05.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:06.998Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:07.997Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:08.997Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:09.997Z
35.25715731855349,137.13306306763934,209.7,-3057.677195929696,-82411.22233706315,2025-10-11T02:04:10.997Z
35.25715252426687,137.13305868200476,209.6,-3058.076436105943,-82411.75405231658,2025-10-11T02:04:11.997Z
35.25715252426687,137.13305868200476,209.5,-3058.076436105943,-82411.75405231658,2025-10-11T02:04:12.997Z
35.25714578664114,137.1330790759984,209.3,-3056.2209873428324,-82412.50211359913,2025-10-11T02:04:13.997Z
35.257139998983035,137.13311215602076,208.9,-3053.2111682313325,-82413.14518090154,2025-10-11T02:04:14.997Z
35.25712928786841,137.13317216586466,208.7,-3047.751119053742,-82414.33525415484,2025-10-11T02:04:15.997Z
35.25711902333252,137.13323284245803,208.5,-3042.2303824886667,-82415.47580368262,2025-10-11T02:04:16.997Z
35.2571037717835,137.1333239231861,208.1,-3033.943278840704,-82417.17050992856,2025-10-11T02:04:17.999Z
35.25708579400036,137.13343518282096,207.7,-3023.8201415258695,-82419.16825609616,2025-10-11T02:04:18.999Z
35.257068573060536,137.13354697823237,207.2,-3013.648219995689,-82421.08204736817,2025-10-11T02:04:19.999Z
35.2570498312408,137.13366467438811,206.5,-3002.93942576542,-82423.1647233102,2025-10-11T02:04:20.999Z
35.257031467114615,137.1337812271979,205.5,-2992.3346488585,-82425.20545294628,2025-10-11T02:04:21.999Z
35.257010412433,137.13391497135066,204.4,-2980.1656786777435,-82427.54516103347,2025-10-11T02:04:22.999Z
35.25698790142931,137.13405369050466,203.3,-2967.5440662863266,-82430.04655738824,2025-10-11T02:04:23.999Z
35.25696152716674,137.13419498114106,202.2,-2954.688600823424,-82432.97658017119,2025-10-11T02:04:24.999Z
35.25693042543023,137.13434163885532,201.0,-2941.3449323721147,-82436.4311822272,2025-10-11T02:04:25.999Z
35.25689978346382,137.13449798111148,199.8,-2927.120013207197,-82439.83504595912,2025-10-11T02:04:26.999Z
35.25687203822016,137.13465345202803,198.6,-2912.9742653959693,-82442.91751607957,2025-10-11T02:04:27.999Z
35.25684620669311,137.13481103641683,197.4,-2898.6361288379658,-82445.7877291298,2025-10-11T02:04:28.999Z
35.25682048229616,137.1349764990357,196.2,-2883.5811161518536,-82448.64626391235,2025-10-11T02:04:29.999Z
35.25679593850323,137.13514198281788,194.9,-2868.524126650446,-82451.37380483533,2025-10-11T02:04:30.999Z
35.25677043601551,137.1353074223565,193.7,-2853.4711875311223,-82454.20767140338,2025-10-11T02:04:31.999Z
35.25674612735023,137.13547259172347,192.5,-2838.442781100982,-82456.90906940549,2025-10-11T02:04:32.999Z
35.25672141404359,137.13564402257649,191.3,-2822.8446280806793,-82459.6555090427,2025-10-11T02:04:33.999Z
35.25669967695056,137.13581406230384,190.1,-2807.3729457653562,-82462.07171852047,2025-10-11T02:04:34.999Z
35.25667742936512,137.13598006523557,188.9,-2792.268593208909,-82464.54441899067,2025-10-11T02:04:35.999Z
35.25665405129505,137.13613536307307,187.8,-2778.138360847452,-82467.14220401553,2025-10-11T02:04:36.999Z
35.256620499381384,137.13628706283114,186.8,-2764.335866364499,-82470.86849383726,2025-10-11T02:04:37.999Z
35.256586275073964,137.1364375660079,185.9,-2750.6422639761463,-82474.66932083714,2025-10-11T02:04:38.999Z
35.256562222024776,137.13658250565706,185.1,-2737.4545514415527,-82477.34163332127,2025-10-11T02:04:39.999Z
35.256546257738435,137.13671283677385,184.5,-2725.595838098087,-82479.11620513216,2025-10-11T02:04:40.999Z
35.25653332031533,137.13682052294163,184.0,-2715.7975567421668,-82480.55435939328,2025-10-11T02:04:41.999Z
35.25651742748832,137.13689943960148,183.7,-2708.61720205991,-82482.31957365884,2025-10-11T02:04:42.999Z
35.256480438274785,137.13695389077387,183.4,-2703.6637402458505,-82486.42442661627,2025-10-11T02:04:43.999Z
35.256421451206954,137.13698636439264,183.1,-2700.7108148820876,-82492.96899317727,2025-10-11T02:04:44.999Z
35.256297539757206,137.13693723496786,182.9,-2705.1853842154655,-82506.71367125028,2025-10-11T02:04:45.999Z
35.25619156004131,137.13688287097858,182.7,-2710.135682395781,-82518.46896166627,2025-10-11T02:04:46.999Z
35.25607347060284,137.13681375922087,182.4,-2716.4283522469887,-82531.56722783338,2025-10-11T02:04:47.999Z
35.2559530384951,137.1367461069041,182.1,-2722.5883184519053,-82544.92541149734,2025-10-11T02:04:48.999Z
35.2558379890807,137.1366855837178,181.7,-2728.09941415663,-82557.6866620085,2025-10-11T02:04:49.999Z
35.25572025073313,137.13662304472874,181.4,-2733.7940419734978,-82570.74614799337,2025-10-11T02:04:50.999Z
